,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HomeTeamMatchDay,AwayTeamMatchDay,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamPoints,AwayTeamPoints,HomeTeamLostLast,AwayTeamLostLast,HomeTeamGameNumber,AwayTeamGameNumber,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints
16363,SP1,Recreativo,Betis,2.0,0.0,H,2.5,3.2,2.75,5,5,6.25,7.5,5.0,7.5,1,0,8.75,3.75,1.0,0.0,3,3,2.5,7.5,2.5,7.5
16364,N1,Ajax,Utrecht,3.0,1.0,H,1.25,6.0,10.0,16,16,18.0,13.0,4.0,11.0,11,0,13.0,7.0,1.0,0.0,9,8,16.0,12.0,13.0,6.0
16365,I1,Empoli,Juventus,0.0,4.0,A,5.5,3.75,1.5,2,2,0.0,5.0,5.0,0.0,0,1,0.0,15.0,0.0,1.0,1,1,0.0,4.0,0.0,3.0
16366,E0,Everton,Hull,1.0,1.0,D,1.53,4.33,7.0,14,14,7.0,1.0,5.0,7.0,0,0,8.0,1.0,0.0,0.0,7,8,10.0,4.0,7.0,4.0
16367,I1,Juventus,Roma,1.0,0.0,H,1.7,3.6,5.0,17,17,12.0,10.0,6.0,4.0,2,3,12.0,12.0,1.0,1.0,9,9,14.0,9.0,15.0,15.0
16368,D1,Wolfsburg,Hoffenheim,4.0,0.0,H,1.44,4.33,7.0,30,30,12.0,4.0,5.0,9.0,0,0,12.0,2.0,0.0,0.0,15,15,14.0,6.0,15.0,5.0
16369,N1,Zwolle,Willem II,1.0,0.0,H,2.0,3.5,3.6,29,29,10.0,8.0,9.0,8.0,1,3,4.0,8.0,1.0,1.0,15,15,12.0,4.0,8.0,11.0
16370,I1,Livorno,Inter,0.0,2.0,A,5.0,3.0,1.72,17,17,7.0,13.0,7.0,7.0,2,16,5.0,9.0,1.0,1.0,9,9,7.0,8.0,12.0,9.0
16371,D1,Hamburg,M'gladbach,2.0,3.0,A,1.33,4.75,9.5,11,11,8.0,3.0,5.0,10.0,10,1,9.0,1.0,1.0,1.0,6,6,11.0,4.0,13.0,7.0
16372,N1,Heerenveen,Dordrecht,1.0,2.0,A,1.44,4.5,6.5,1,1,1.0,2.0,2.0,1.0,0,0,0.0,3.0,,,1,1,1.0,2.0,0.0,0.0
16373,F1,Lille,Bordeaux,0.0,0.0,D,2.1,3.2,3.8,3,3,0.0,5.0,2.5,7.5,1,1,2.5,2.5,1.0,1.0,2,2,0.0,5.0,0.0,0.0
16374,E0,Liverpool,Chelsea,1.0,1.0,D,2.0,3.8,3.8,37,37,11.0,8.0,6.0,10.0,1,0,10.0,4.0,1.0,0.0,19,19,13.0,12.0,11.0,6.0
16375,F1,Nancy,Lyon,0.0,2.0,A,5.0,3.3,1.61,22,22,5.0,9.0,4.0,4.0,3,2,8.0,10.0,1.0,1.0,12,12,3.0,10.0,6.0,10.0
