,B365H,B365D,B365A,H,D,A,HomeTeamAtHomeTeamPoints,AwayTeamFromHomeTeamPoints,ScoredAtHomeTeam5,ScoredAwayTeam5,HomeTeamPoints,AwayTeamPoints,HomeTeamUnBeatenStreak,AwayTeamUnBeatenStreak,HomeTeamGoalsScoredLast5,AwayTeamGoalsScoredLast5,HomeTeamGoalsConcededLast5,AwayTeamGoalsConcededLast5,HomeTeamLostLast,AwayTeamLostLast
30,1.72,3.4,5.0,1,0,0,7.0,8.0,6.0,6.0,7.0,5.0,0,3,6.0,5.0,4.0,5.0,0.0,1.0
31,1.67,3.8,5.0,1,0,0,5.0,8.0,6.0,6.0,8.0,7.0,0,6,9.0,7.0,7.0,6.0,0.0,1.0
32,1.6,3.8,5.5,0,1,0,13.0,9.0,13.0,9.0,8.0,9.0,2,0,6.0,10.0,5.0,5.0,1.0,0.0
33,1.75,3.75,5.5,0,1,0,8.0,10.0,11.0,5.0,7.0,6.0,1,0,8.0,5.0,8.0,8.0,1.0,0.0
34,1.72,3.2,4.5,1,0,0,10.0,5.0,7.0,6.0,7.0,5.0,0,1,6.0,6.0,4.0,7.0,0.0,1.0
35,1.62,4.0,5.5,1,0,0,10.0,4.0,12.0,4.0,6.0,8.0,4,2,8.0,8.0,8.0,6.0,1.0,1.0
36,1.61,3.39,5.0,1,0,0,10.0,3.0,7.0,6.0,4.0,6.0,0,0,2.0,5.0,6.0,5.0,0.0,0.0
37,1.53,3.6,5.0,0,0,1,12.0,6.0,20.0,10.0,9.0,12.0,1,2,11.0,14.0,9.0,5.0,1.0,1.0
38,1.8,3.4,4.5,1,0,0,12.0,8.0,7.0,6.0,9.0,5.0,2,5,8.0,6.0,9.0,6.0,1.0,1.0
39,1.75,3.4,5.0,1,0,0,9.0,7.0,6.0,2.0,6.0,2.0,0,2,3.0,4.0,8.0,10.0,0.0,1.0
40,1.57,4.0,5.5,0,1,0,6.0,6.0,8.0,5.0,6.0,7.0,3,1,8.0,7.0,5.0,7.0,1.0,1.0
41,1.7,3.5,5.5,1,0,0,8.75,7.5,5.0,6.25,10.0,6.0,2,1,5.0,8.0,3.0,13.0,1.0,1.0
42,1.75,3.8,5.25,1,0,0,10.0,10.0,7.0,8.0,4.0,10.0,0,2,6.0,10.0,8.0,8.0,0.0,1.0
43,1.7,3.8,5.0,0,1,0,9.0,8.0,6.0,8.0,9.0,4.0,1,1,9.0,5.0,6.0,7.0,1.0,1.0
44,1.6,3.6,5.25,0,1,0,10.0,7.0,8.0,1.0,4.0,6.0,0,1,5.0,4.0,8.0,8.0,0.0,1.0
45,1.61,3.5,4.5,1,0,0,15.0,9.0,16.0,9.0,13.0,3.0,15,0,13.0,6.0,3.0,12.0,1.0,0.0
46,1.8,3.6,4.5,0,1,0,2.5,3.75,2.5,5.0,1.0,3.0,0,1,5.0,7.0,9.0,9.0,0.0,1.0
47,1.8,3.2,4.75,0,1,0,12.0,8.0,10.0,5.0,6.0,4.0,0,0,6.0,4.0,7.0,7.0,0.0,0.0
48,1.83,3.25,4.75,0,1,0,13.0,9.0,9.0,1.0,9.0,9.0,2,1,6.0,9.0,5.0,7.0,1.0,1.0
49,1.85,3.6,4.75,1,0,0,5.0,5.0,7.0,6.0,4.0,4.0,0,1,6.0,4.0,9.0,8.0,0.0,1.0
50,1.8,3.3,4.75,1,0,0,11.0,10.0,7.0,2.0,10.0,6.0,0,1,5.0,3.0,1.0,6.0,0.0,1.0
51,1.62,4.0,5.25,1,0,0,9.0,7.0,10.0,5.0,9.0,6.0,2,0,10.0,7.0,11.0,8.0,1.0,0.0
52,1.75,3.39,5.5,0,1,0,5.0,10.0,3.0,2.0,8.0,4.0,0,2,4.0,2.0,2.0,5.0,0.0,1.0
53,1.91,3.5,4.75,0,1,0,9.0,4.0,7.0,3.0,4.0,4.0,2,0,5.0,3.0,7.0,10.0,1.0,0.0
54,1.72,3.2,4.5,0,1,0,11.0,8.0,7.0,4.0,6.0,6.0,2,4,5.0,3.0,6.0,6.0,1.0,1.0
